label,folder,L,T,epoch,pair,zscore_mse,gauge_mse,ratio
L=64 i2_stride8h64_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride8h64_b16,64,2.26919,19800,f_1->f_2,0.5073,0.3462,0.682
L=64 i2_stride8h64_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride8h64_b16,64,2.26919,19800,f_2->f_3,2.6468,2.1297,0.805
L=64 i2_stride8h64_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride8h64_b16,64,2.26919,19800,f_3->f_4,0.439,0.1932,0.44
L=64 i2_stride8h64_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride8h64_b16,64,2.26919,19800,f_4->f_5,0.063,0.0463,0.736
L=64 i2_stride8h64_b16 (Phase-2),data/64Ising_T2.269_hsBignet_i2_stride8h64_b16,64,2.26919,19800,f_5->f_6,0.001,0.0005,0.464
L=64 iii1_lam1.0_b16 (+III.1),data/64Ising_T2.269_hsBignet_iii1_lam1.0_b16,64,2.26919,19800,f_1->f_2,0.4367,0.3122,0.715
L=64 iii1_lam1.0_b16 (+III.1),data/64Ising_T2.269_hsBignet_iii1_lam1.0_b16,64,2.26919,19800,f_2->f_3,0.3437,0.1866,0.543
L=64 iii1_lam1.0_b16 (+III.1),data/64Ising_T2.269_hsBignet_iii1_lam1.0_b16,64,2.26919,19800,f_3->f_4,0.2711,0.1788,0.659
L=64 iii1_lam1.0_b16 (+III.1),data/64Ising_T2.269_hsBignet_iii1_lam1.0_b16,64,2.26919,19800,f_4->f_5,0.0555,0.0545,0.982
L=64 iii1_lam1.0_b16 (+III.1),data/64Ising_T2.269_hsBignet_iii1_lam1.0_b16,64,2.26919,19800,f_5->f_6,0.0002,0.0003,1.167
