label,folder,L,T,epoch,scale_s,L_s,source,metric,value
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,3,4,cross_gauge,v5_gauge_ks,0.0033437500000000897
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,3,4,cross_gauge,v5_gauge_w1,0.008197623026150897
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,3,4,cross_gauge,v5_gauge_rms_g,0.04105284437537193
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,4,2,cross_gauge,v5_gauge_ks,0.006625
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,4,2,cross_gauge,v5_gauge_w1,0.00805631238406806
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,4,2,cross_gauge,v5_gauge_rms_g,nan
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,5,1,cross_gauge,v5_gauge_ks,0.0085
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,5,1,cross_gauge,v5_gauge_w1,0.01247163633055607
L=32 baseline_b64,data/32Ising_T2.269_hsBignet_baseline_b64,32,2.269185314213022,19800,5,1,cross_gauge,v5_gauge_rms_g,nan
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,0,32,cross_gauge,v5_gauge_ks,0.004729999999999901
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,0,32,cross_gauge,v5_gauge_w1,0.013339982325982411
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,0,32,cross_gauge,v5_gauge_rms_g,0.0
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,1,16,cross_gauge,v5_gauge_ks,0.0020500000000001073
L=32 iii1_lam1.0_b64 (+III.1),data/32Ising_T2.269_hsBignet_iii1_lam1.0_b64,32,2.269185314213022,19800,1,16,cross_gauge,v5_gauge_w1,0.01797572496773409
